SUBSCRIPTION_ID,RELATIONSHIP_STRENGTH,SENTIMENT,NPS_SCORE,IS_DELINQUENT,NUMBER_OF_LOCATIONS,ANNUAL_REVENUE,PARTNERSHIP,BILLING_CITY,BUSINESS_TYPE,CUISINE,PAYMENT_PLAN,CHURN_DATE
sub_FVZlOKNL707Bx8,Neutral,,,FALSE,1,,,Oakland,Restaurant,Burgers,Monthly,
sub_EQZU2ye3Q4FEcm,Good,,,FALSE,1,2016,,Friday Harbor,Restaurant,Seafood,,
sub_D7ZXRidXP6dvK2,Neutral,,,FALSE,2,1908,US Foods,Greenwood,Restaurant,American (Traditional),Monthly,
sub_FetNwVl8LlBIRS,Neutral,,,FALSE,1,,,Phoenix,Restaurant,Beverages,Monthly,
sub_A5w35sxkkMvqkH,Neutral,,,FALSE,1,1428,,Boston,Restaurant,Other,Monthly,
sub_9a7DJedYkGZFGa,Neutral,,,FALSE,1,1908,US Foods,Mt. Gilead,Restaurant,American (Traditional),Monthly,
sub_8gCh1vtYvxVzmq,Neutral,neutral,7,FALSE,1,2388,,New York,Bar,British,Monthly,
sub_CGrOfnGZhgdlAq,Neutral,,,FALSE,1,1428,,Long Beach,Restaurant,Pizza,Monthly,
sub_EJ03fMRW6zAYel,Neutral,,,FALSE,1,1908,US Foods,Altoona,Restaurant,Italian,Monthly,
sub_BK0H7G08gwXYFK,Neutral,,8,FALSE,2,2388,,Toronto,Restaurant,Korean / Vietnamese,Monthly,
sub_AYfGzWrfQU0nvo,Good,neutral,9,FALSE,1,1188,,Montreal,Restaurant,Other,Yearly,
sub_EBDO3bRm1xe2Jk,Neutral,neutral,,FALSE,1,2388,,Washington,Restaurant,Mexican,Monthly,
